timestamp,step,scenario,client_id,incoming_req,alpha,z_score,z_score_norm,mu,sigma,refill_rate,tokens,accepted_req,rejected_req,rejection_rate
2024-01-01 00:00:00,0,Normal,AMI_Meter,31,0.0,0.0,0.0,31.0,1.0,100.0,119.0,31,0,0.0
2024-01-01 00:00:00,0,Normal,PMU_Sensor,41,0.0,0.0,0.0,41.0,1.0,100.0,109.0,41,0,0.0
2024-01-01 00:00:00,0,Normal,DER_Controller,47,0.0,0.0,0.0,47.0,1.0,100.0,103.0,47,0,0.0
2024-01-01 00:00:00,0,Normal,EV_Charger_1,40,0.0,0.0,0.0,40.0,1.0,100.0,110.0,40,0,0.0
2024-01-01 00:00:00,0,Normal,EV_Charger_2,20,0.0,0.0,0.0,20.0,1.0,100.0,130.0,20,0,0.0
2024-01-01 00:00:01,1,Normal,AMI_Meter,23,0.0,0.0,0.0,27.0,5.66,100.0,127.0,23,0,0.0
2024-01-01 00:00:01,1,Normal,PMU_Sensor,51,0.0,0.0,0.0,46.0,7.07,100.0,99.0,51,0,0.0
2024-01-01 00:00:01,1,Normal,DER_Controller,36,0.0,0.0,0.0,41.5,7.78,100.0,114.0,36,0,0.0
2024-01-01 00:00:01,1,Normal,EV_Charger_1,34,0.0,0.0,0.0,37.0,4.24,100.0,116.0,34,0,0.0
2024-01-01 00:00:01,1,Normal,EV_Charger_2,25,0.0,0.0,0.0,22.5,3.54,100.0,125.0,25,0,0.0
2024-01-01 00:00:02,2,Normal,AMI_Meter,34,0.0,0.0,0.0,29.33,5.69,100.0,116.0,34,0,0.0
2024-01-01 00:00:02,2,Normal,PMU_Sensor,56,0.0,0.0,0.0,49.33,7.64,100.0,94.0,56,0,0.0
2024-01-01 00:00:02,2,Normal,DER_Controller,40,0.0,0.0,0.0,41.0,5.57,100.0,110.0,40,0,0.0
2024-01-01 00:00:02,2,Normal,EV_Charger_1,41,0.0,0.0,0.0,38.33,3.79,100.0,109.0,41,0,0.0
2024-01-01 00:00:02,2,Normal,EV_Charger_2,32,0.0,0.0,0.0,25.67,6.03,100.0,118.0,32,0,0.0
2024-01-01 00:00:03,3,Normal,AMI_Meter,25,0.0,0.0,0.0,28.25,5.12,100.0,125.0,25,0,0.0
2024-01-01 00:00:03,3,Normal,PMU_Sensor,52,0.0,0.0,0.0,50.0,6.38,100.0,98.0,52,0,0.0
2024-01-01 00:00:03,3,Normal,DER_Controller,30,0.0,0.0,0.0,38.25,7.14,100.0,120.0,30,0,0.0
2024-01-01 00:00:03,3,Normal,EV_Charger_1,40,0.0,0.0,0.0,38.75,3.2,100.0,110.0,40,0,0.0
2024-01-01 00:00:03,3,Normal,EV_Charger_2,29,0.0,0.0,0.0,26.5,5.2,100.0,121.0,29,0,0.0
2024-01-01 00:00:04,4,Normal,AMI_Meter,29,0.0,0.0,0.0,28.4,4.45,100.0,121.0,29,0,0.0
2024-01-01 00:00:04,4,Normal,PMU_Sensor,44,0.0,0.0,0.0,48.8,6.14,100.0,106.0,44,0,0.0
2024-01-01 00:00:04,4,Normal,DER_Controller,52,0.0,0.0,0.0,41.0,8.72,100.0,98.0,52,0,0.0
2024-01-01 00:00:04,4,Normal,EV_Charger_1,34,0.0,0.0,0.0,37.8,3.49,100.0,116.0,34,0,0.0
2024-01-01 00:00:04,4,Normal,EV_Charger_2,27,0.0,0.0,0.0,26.6,4.51,100.0,123.0,27,0,0.0
2024-01-01 00:00:05,5,Normal,AMI_Meter,28,0.0,0.0,0.0,28.33,3.98,100.0,122.0,28,0,0.0
2024-01-01 00:00:05,5,Normal,PMU_Sensor,54,0.0,0.0,0.0,49.67,5.89,100.0,96.0,54,0,0.0
