timestamp,step,scenario,node_id,node_type,region,L_base,proximity_score,phi_e,load_e,availability,mtd_factor,gossip_adj,is_gossip_step,L_e,L_global,incoming_req,accepted_req,rejected_req,rejection_rate,tokens,mtd_active
2024-01-01 00:00:00,0,NORMAL,DER_Hub_North,DER_CONTROLLER,NORTH,2000,0.95,0.2432,0.2622,1,1.0,1.05,1,1549.4,1204.86,183,183,0,0.0,1366.4,0
2024-01-01 00:00:00,0,NORMAL,PMU_Collector_West,PMU_SYNC,WEST,1800,0.9,0.2233,0.2384,1,1.0,1.05,1,1439.42,1204.86,210,210,0,0.0,1229.42,0
2024-01-01 00:00:00,0,NORMAL,AMI_Gateway_East,AMI_GATEWAY,EAST,1500,0.7,0.1811,0.25,1,1.0,1.05,1,1181.22,1204.86,159,159,0,0.0,1022.22,0
2024-01-01 00:00:00,0,NORMAL,EV_Station_South,EV_HUB,SOUTH,1200,0.65,0.1538,0.2376,1,1.0,1.05,1,960.6,1204.86,114,114,0,0.0,846.6,0
2024-01-01 00:00:00,0,NORMAL,Smart_Meter_Cluster_1,TELEMETRY_LEAF,EAST,800,0.4,0.0993,0.1215,1,1.0,1.05,1,737.97,1204.86,100,100,0,0.0,637.97,0
2024-01-01 00:00:00,0,NORMAL,Smart_Meter_Cluster_2,TELEMETRY_LEAF,WEST,800,0.4,0.0993,0.1409,1,1.0,1.05,1,721.61,1204.86,94,94,0,0.0,627.61,0
2024-01-01 00:00:01,1,NORMAL,DER_Hub_North,DER_CONTROLLER,NORTH,2000,0.95,0.2432,0.2526,1,1.0,1.05,0,1569.45,1183.67,201,201,0,0.0,1368.45,0
2024-01-01 00:00:01,1,NORMAL,PMU_Collector_West,PMU_SYNC,WEST,1800,0.9,0.2233,0.3251,1,1.0,1.05,0,1275.58,1183.67,218,218,0,0.0,1057.58,0
2024-01-01 00:00:01,1,NORMAL,AMI_Gateway_East,AMI_GATEWAY,EAST,1500,0.7,0.1811,0.2387,1,1.0,1.05,0,1199.05,1183.67,156,156,0,0.0,1043.05,0
2024-01-01 00:00:01,1,NORMAL,EV_Station_South,EV_HUB,SOUTH,1200,0.65,0.1538,0.1656,1,1.0,1.05,0,1051.31,1183.67,117,117,0,0.0,934.31,0
2024-01-01 00:00:01,1,NORMAL,Smart_Meter_Cluster_1,TELEMETRY_LEAF,EAST,800,0.4,0.0993,0.1911,1,1.0,1.05,0,679.51,1183.67,104,104,0,0.0,575.51,0
